Show,Review,Rating
The Witcher,"I'm starting to think creators are reviewing their own shows. It's a good series so far, and I would normally rate Witcher at a 7 or 8. I'm just concerned that it's getting awfully close to GOT in ratings which is a complete farce.",6
The Witcher,"The inconsistency of the quality of each scene in both lighting, picture, acting and dialogue are out of this world. This immediately takes the serie down to a 5 star. The shallow and immature directing of the story deducts another star. This could have been an excellent show, sadly. The fighting scenes are brutal and entertaining, which I found to be the only good aspect of the serie.",4
The Witcher,"First episode through the third was pretty good, must admit. It got me hooked. Dialogue was decent, and Cavill is doing good. Other actors were fine and showing qualities and fighting was well executed. Long takes showing the actual stunts.But the further I got (have seen five episodes), the more it felt like Vampire Diaries trying to be Game of Thrones. Dialogue got worse and worse, and while the fighting choreography was impressive, there were some reeeeally corny moments like Duny and Pavetta flying like Shrek and Fiona, not to mention Geralt's justification to saving Yennefer from the Djinn. ""She saved you, I can't let her die!"".It's very clear how the show tries to make Geralt an emotionless character, but at the same time have already established that he's very friendly. This makes for incredibly predictable content.It tries to be this dark show, but fails. Waaaay to light, which contrasts badly with all the blood and gore. The atmosphere just doesn't fit.I was very excited for the show, but after five episodes I feel like I'm very ready to drop it. It's just too corny and perhaps fit teenagers better.",6
The Witcher,Thia show is very good. Only at the second épisode but already hooked. Can't stop Watching.,10
The Witcher,"I was really surprised by the 9.3 rating of this title when i first saw it here. I went and watched the first episode excited for something awesome. And man was I disappointed! It is really really cheap series with below average acting and the worst story ever.
It was like the story was written by a 16 year-old. Boobies, blood, unrealistic fight scene, fire and magic. All this at random. I don't even fans of the game would really like it.",5
The Witcher,"I've binge watched all the 8 first season episodes and I can honestly say this is a fantasy world which works well. Right from the get go the use of magic and monsters is revealed so there is no slow, drawn out reveal as there was say with Game of Thrones. Geralt is an excellent anti-hero as is Yennefer. I would say the mood and style of this series is somewhere in between the Shannara Chronicles and Game of Thrones but do not mistake this to mean that it is of the same quality as the Shannara Chronicles; the Shannara Chronicles was a pretty rubbish series and got a well deserved cancelled season 3 (the young actors were just not up to it). The Witcher has great acting right across the board and special FX are up there. Highly recommended to fans of the fantasy genre; do not believe the mainstream media reviews which are giving it 3/5 stars, this is a sold 4/5 stars to 9/10 stars tv series.",9
The Witcher,This show is everything I wanted from a solid show after playing the games. The sound score and many other aspects resemble the games which make it pleasing to watch. Amazing,10
The Witcher,"I hope there is ""much more"" to come of this series! The cast is amazing and who doesn't love a superb hero?",10
The Witcher,Good and enjoyable to watch! The series brings top level of story telling! And excellent acting,10
The Witcher,"I just love it, I don't understand why people compare it to GoT...It's really different type of story and flow.The only reason I didn't rate this show a perfect 10 is because it made for ppl who know a little background of the story, if I wouldn't knew about it I guess I would be confused about the story in the first episodes...",9
The Witcher,"First of all, I was very doubtful when Henry first got the role, and I was thinking ""Really? Superman?"" But how wrong I was that the performance from Henry is outstanding and I can feel that he is Geralt.I have read the first novel and played the Witcher 3. The Witcher 3 is such a masterpiece that immediately after finishing the game, the emotion I felt was something I've never felt before, felt like losing a lifelong friend. But the show hasn't delivered that, partly I think it's based on the novel which consists of different short stories rather than one consistent story. I think the writer should take more time building the characters and give more time for characters to interact with each other (many things are missing from the novel and even if it's not on the novel, I think It's worthwhile to let the characters interact and build emotion with each other). Because a lot of the scenes, the characters are just full on emotions without blending into it and sometimes it just feels like staged (not sure if it's because of the writing or the acting).I really hope season 2 can take more time to build the characters and please take more time for audience to think and look at the lesser evil and greater evil choices, not just full on, throw it out there like it's script.",9
The Witcher,"1) there are no questions to the main Cavill character, the best in this series
2) is it exactly a Slavic fairy tale? I did not remove my hand from the facespalm
3) why are there so many other race of people in the series? it's too much, you oversaturation made it look tight and cheap
4) Why in the tavern we hear a song not medieval but some modern jazz, who invented it and why? for this it is necessary to dismiss
5)The eyes of all the actors are oversaturated with artificiality, but these are lenses, but why should they be so highlighted with contrast
6) ridiculous moments with naked girls, I am not against female nature but it should be in certain scenes, as it was in games of thrones
7) this is not the witcher, this is beverly hills 90210
8) and I'll ask you again why you had a bunch of people of non-Slovenian appearance, this is a Polish fairy tale",2
The Witcher,"I'm baffled.. I think most of the bad reviews are from people who have never played the game or read the book or just anybody who holds GoT on a little too high of a pedestal. Very entertaining s1 looking forward how they can bult upon this ,*edit* i don't get why people are making this a "" my show vs your show type thing..( got vs this.) Just enjoy",9
The Witcher,"I watched the entire season and I have to say I am enjoying this series quite a lot! It has a few problems ofcourse like every show has; especially the cgi is horrible, the creatures look so fake it takes me out of the action, but this is something that can me remedied with a higher budget (wich I expect it will get if this season is a succes)
Besides that a few corny scenes here and there, and sometimes the acting is a little weak. But overall the story and world is interesting, you feel the creators have a passion for it. Super curious how this show will evolve!",8
The Witcher,"First of all, I have neither read the books nor watched the original Polish tv series. I also have to admit that, learning of Henry Cavill's casting, I didn't approach the show with high expectations (although, admittedly, with the secret hope of wanting to be wrong).Unfortunately, sadly I wasn't.Comparisons with GoT aside (which I haven't watched so far), the show is simply...Quite bad, honestly.Apparently, it's been filmed entirely for male teenagers. Blood, gore, sex out of nowhere, dialogue, plot, action and everything else so blunt and in-your-face that anyone capable of intelligent thought should feel insulted to be treated like their IQ was somewhere around Forrest Gump's. The worst instances are the a-second-or-two moments of slow motion after a sword strike to emphasize that *ooh-hoo, it has hit its target, whoa!*The show might be close to the source material. Fans might like it.Anyone else, though? You might as well watch a Michael Emmerich or Michael Bay movie. You can be sure it'll be about as intellectually stimulating as this show.",2
The Witcher,I love it can't wait for season 2 i loved the acting how they make the story mixed between the past and future loved it,10
The Witcher,"Honestly, my title says it all. ;)But Cavill - well, fact is, when I first heard he had gotten role, I was like.. ""Err.. Superman? He's frickin HUGE and Geralt is more of a slender guy (lightning fast swordsman), and you just don't picture huge guys as .. well, fast.Thing is, he went after the role. He'd played the game a lot (and it really is one of the best video games ever made) and you can tell he loves the story.His accent is PERFECT. Even early in the first episode and he just responds with a kind ""hmm"" from the back of his throat, it was ...dare I say it again? Perfect. ;) I laughed out loud though. It was funny in delivery and in epitomizing the character.From what I've seen of the previews, they've done a great job on sticking close enough to the books (and since they were originally in Polish, enough folks will still be pleasantly surprised by the twists and turns) that it should please most fans as well.Beyond all that though, the fantasy (and production) values are top notch, though there are a couple of times when I felt the camera felt a little.. I don't know what the word is. Small screen? I don't know, it's hard to describe. Doesn't matter though b/c the sets and CGI, and the characters are well acted and I loved the fact that I didn't recognize a lot of them. Sometimes, it's hard to really immerse yourself in a story when you recognize every last person and you can just imagine that they are on a set somewhere and there's guys with cameras about a few feet away from the people you watching.Well, not here! With Cavill, the makeup and voice changing he does, and his whole demeanor is nothing like you've ever seen him him. The supporting cast is fantastic as well.If you want a comparison, this is to the Witcher universe what the LoTR movies were to Tolkien's work. It's that good, and that's the production that it should be compared to.",10
The Witcher,"I don't care about the negative comments. They are always salty people around, writing their cheap critics, BUT I knew this series going to Booooommmm ;) and So its did!!!!! Many compering The Witcher to GOT.... Well to you guys better ""Back off"" its two different world.. but anyway I loved Got characters,and still the end was bitter and felt like a big disappointing... The Witcher deserve that attension and I m so glad to see every episode! So for me its a MASTERPIECE!I can't wait for the next season ;)",10
The Witcher,"In term of quality of acting and writing, The Witcher its on the level of The Shannara Chronicle, but with more money and Henry Cavill.",6
The Witcher,"In what world Fringilla and Triss is a black person. It is hard to understand. I am not a racist person but witcher lore has no black character as i know(just played 3 games,havent read book). There is so much unnecesery and meaningless sex and nude scenes. But it is just netflix things i guess.",7
The Witcher,"I'm surprised this is being rated so highly on IMDb, the show is watchable but has some serious issues. The quality is Very inconsistent where you have certain scenes really well done in terms of lighting and cinematography and others look unfinished and done amaturely. Acting can be good in some scenes and horribly awkward in others. The dialogue strong in some scenes and suddenly changes into something out of a teenage high school drama. Some dialogue choices are extremely poor And awkward I cannot emphasise this more, also Henry Cavill does a poor job delivering the F word everything he's in trouble feels so out of places. You suddenly hear out of place cringe dialogue that kicks you out of the immersion. The characters also don't have any unique personality since their character personality are all over the place without being consistentThe accents keep changing from Old English to modern to American to Irish to whatever, actors unable to keep a consistent accent. Casting is also inconsistent where Henry seems to be a good choice but many other characters for example Triss is portrayed by a horribly looking actress who looks like she is a crazed homeless hippy, Triss is actually an extremely beautiful red haired sorceress. In some scenes Yennefer is extremely beautiful as she should be and in others her makeup, clothing m and lighting is so off she looks like she looks nasty, in some scenes Henry Cavill looks rugged, bad ass and awesome and in others you can clearly see the fake wig and cheap looking costume, again very inconsistent quality of work. The soundtrack in some cases is well done but in many fails to capture the Slavic Dark medieval themes of the Witcher.There also seems to be a lot and a lot of scenes with dancing in the courts like a lot of it! The creators seem to think that's something that needs to be shown a lotThe writing and story is poor but watchable. It's very unfortunate that this series was given to a team of writers and creators who have no interest and no background with the Witcher, I think Henry ""likes"" the games but that's not enough. A team who really cared would have insured every little detail of this show is done to perfection, Look at the quality done by HBO with GOT and anything they touch. Witcher has potential to be the best and most watched show Netflix ever had",5
The Witcher,"Anyone who says this is a ""perfect"", ""flawless"", or ""amazing"", does a disservice to this because it is a plain exaggeration. What that creates, and what I was sorely tempted to do, was to score the series at a one star to balance the scales. So, if you love something, don't exaggerate because it will inevitably muddy the waters. Just try and explain why you like it, even though it is more work. ??The cg in the first sequence is far from perfect, not to say anything about the pacing of the fight. HC's acting is wooden, and out of synch with the tone. It is like he is not sure if he is supposed to be doing it straight, or if they are sending up fantasy films of today. Or, just does not respect the material/take it seriously. I would say this also applies to many of the performances in this series.The script is full of dialogue that feels like it was crafted by a tenth grade drama class. Full of anachronisms. Worse than GOT in that regard.Gratuitous nudity, check. I'm not judging nudity, just how effectively it was used. I would say poorly, but certainly was present and not suble.The look of The Witcher is not consistent either, often changing visual tones in a jarring way when cutting between exteriors, interiors, and the cgi designs.If you are willing to overlook these elements, The Witcher has the potential to offer some long-term, big storytelling possibilities.",5
The Witcher,"It's an amazing show, great scenery, fighting, perfect casting and pacing. It follows the books pretty much with occasional homages to the games. Henry Cavill is perfect in the role and the others shine also.",10
The Witcher,"I think it's a very good season 1. For those who claim GOT was amazing, go back and re watch GOT season 1 it feels like a cheap soap opera.People who hate the script or Cavils acting I think they're both spot on and probably captures the essence of the witcher.Too many people giving it 1 star to counter the young lads who probably counter the haters. Way too convoluted. Was planning to give it an 8 but it deserves a 9 just because some of the people here are just plain salty with their 1 stars.Also OK boomers you've watched original star wars in a theatre (someone did argue this lol)",9
The Witcher,"I only watch because of Henry.C.This was really bad done, like the last of GOT it was that bad.
Som part was good like the monsters, except the dragon that was really really bad done. I like the witch castle.
The war was really bad and the militära strategy in the first episode was so bad.
The first fighting scene in the village was good.
Mosty wrong akters play the different part in the serie.
No mysterium around the witches and warlocks.
The same as ELFs, so boring. They look like humans and act like them.
No connection to anybody.
Better let HBO do it..",5
The Witcher,"I Loved the books,
I Loved the games,
And i Loved this... :$",10
The Witcher,"First, good opening scene but having to wait 50mins to see the Witcher in action was hard work.
The creators failed to capture the spirit of the Witcher series. Cardboard cutout acting and a very contrived storyline doesn't help. The dialogue is so bad I found myself skipping ahead scenes because they were predictable anyway.
In my humble opinion the TV adaptation pales in comparison to the PS4 game. If only it got close to the game trailer it could have been great but see and decide for yourself.",4
The Witcher,"Direction: 5/10
* the show runner needed to really spread this out to other directors and be open to other visions.Writing: 3/10
* feels like they did not have a lot of time and were rushed.Editing: 4/10
*seems like you had no choiceCinematography: 7/10
*camera choices felt safe and unsure. A lot of post lighting effects which destroys camera work.Color: 6/10
*Looks rushed.Acting: 6/10
*Henry 9/10 everyone else 3/10Wardrobe: 7/10
*stuff looks cheapVFX: 7/10
*looks like cheap blender and after effects. Look dev is off, animation and comp issues, sub par matte paintings.Sound / audio: 7/ 10
*seemed decent however certain points needed some foley. Missed a lot of good potential placesMusic: 6/10
Feels like it's way to complicated than it needs to be. The key to great music is simplicity.Makeup SFX: 7/10Choreography: 8/10Conclusion:
I don't know any thing about the Witcher coming in and I feel a lot of the ratings are coming from people that has a prior knowledge of the series.However I'd like to point out from a fresh perspective this story lacks a lot of visual explanations that need to adhere to people like me.I need to understand what a Witcher even is and i feel this show has failed to explain that in the beginning.This show deserves a narrative. This is a fantasy show. Understand the genre.Henry has a strong voice and dam I'd totally be okay if he just narrated the whole dam thing hahaha. Felt like they missed that opportunity :/I feel there is a lot of lazy filler parts that are very Unnecessary. This show could be cut in half the time.",6
The Witcher,A mishmash of everything that went right that obviously went wrong.,8
The Witcher,I'm sorry but i don't wanna see rethinking about Twilight saga>.<Good music.In fact music that's all what was unconditionally good.Dialogues -trash.sure. McGregor may make it in better way/,2
The Witcher,"I have no idea why lead males are all doing Jonny Cash whispering impersonations nowadays. It's almost as if it's a necessity in the ""playing the cool"" hero. It's got potential. I just wish that Henry Cavill didn't sound like he was about to break into ""I was born under a wandering star"".",8
The Witcher,"While not being a fanboy and not having read the book of this fantasy, i really liked the acting especially by Cavill and storytelling (ignoring very few cliches).
Wasn't hoping much but made me watch the whole season after ep1. That's a win in my book.
Also got to know the backstory of my favourite game characters.",9
The Witcher,"Well, after first 4 episodes I nearly fell asleep. The only thing that has kept me awake was that I had to figure out the timeline. I was so disappointed, of course comparing it to the entire GOT, that I wanted to give up. Yet, hell it's Friday so why not to see how it ends. To my surprise the plot has taken off and the film has started to be interesting and more or less all plots came together in episode 5.I guess if it was made prior GOT, I would have been ecstatic about it. Unfortunately, GOT has put the bar super high (w/o the last season).I presume, those who have not read the book will struggle to understand what is going on but if you manage to the end of episode 5, you may like it, like it a lot. Shame for the writers to make it so convoluted at the beginning and cause the fans some pain.Would give a 9 if not the slow and confusing start. Trust the second season will be better.",8
The Witcher,"The show is great. I finished it all in one sitting and didn't get bored or tired at all, which tells a lot about how captivating it is. I won't bore you with why it's so good, just know that it's brilliant. However, my only concerns are mainly the timeline was very confusing, I don't know if it was just be being dumb but I found the flashbacks confusing. Also, the score was pretty lackluster and didn't really hype you up as much as other shows have, and finally there were some VERY VERY cringy scenes, although they weren't common at all but when they did happen oh goodness I wanted to peel my own skin off it was very cringy",8
The Witcher,"So far this show is very intriguing. The sword play is amazing, the magic uses just the right amount, good practical effects as well as special effects.",10
The Witcher,"I didn't have high expectations going into this as I'm usually not impressed by many Netflix shows and films. But gotta admit I'm blown away by this! In my opinion the show is really amazing. I expected nothing and went in with an open mind, and I'm glad i did because i was really amazed!Henry Cavill as Geralt of Rivia is no brainer at this point. The man has so much love for this character and this show! He catches the essense of Geralt, his dry humor, his neutral good personality, and how he is so tired of the hatered.Unpopular opinion; I also like the diversity. Its fu**ing beautiful
Imma give it a 10/10 as it is probably my new favourite show",10
The Witcher,"Briefly and clearly, I didn't expect the show to be this cool. I'm a big fan of the video game series about Geralt. I am incredibly excited about the quality of the show, the best computer graphics I've seen, and how well Henry Cavill has fit into the role. I thank Lauren Schmidt and everyone who worked on this incredible series.",10
The Witcher,"Also if you have the attention span of a squirrel don't watch it because most of it will go over your head. From someone who loved the books and games, watch this show you won't regret it!",7
The Witcher,"I love the soundtrack, casting, fight scenes and Henry Cavill + Anya Chalotra were brilliant! I hope this gets more seasons! I'm going to read the books again.",10
The Witcher,"Had huge exceptions for the show, and it is everything i hoped, and so much more. This has to be one of the most epic first seasons of all time in history. I hope they continue the same way in the upcoming seasons.10/10",10
The Witcher,"Many have been bashing the characters of the series. But in all honesty, we are not yet at the critical phase of the story. Season 1 is just an introduction. As most of the important details will be revealed once Geralt finally meet Ciri and the ""WILD HUNT"", the 7-footer elves from other dimension that keeps chasing Ciri. Also, the importance and the role of other characters to the main story. Yennefer, Triss, Shani, Dandelion (Jaskier), Zoltan, Radovid, Eredin, and the other cast. And most importantly, Geralt meeting Avallac'h.You know its a good film if you're fan of the book and the game, and the Witcher Netflix adaptation captivates your attention. In my opinion, this is the best prologue for a game-series adaptation.",10
The Witcher,"It is a first season of a very complex universe. It requires a build up and the first season did well. Remember that it is adapting TWO books of short stories, so it's A LOT to go through in 1 season, and they didn't even adapt all short stories.Saying that, I think they did a good job of telling the chosen stories. Much of what needed to be said was said, and didn't feel rushed or confusing.Showing events from different times was good! If they didn't to that, Ciri wouldn't even be present in first season, only at the very end! Yennefer backstory was nicely done too.
Somethings did feel fast, the moment I felt it the most was at ""the end of the world"" story, much was cut, but it's ok...
The acting was good. Calanthe, Geralt, Yennefer, Jaskier and Ciri were very good.
The show started very bloody, a bit more than needed for TV, but the books are graphical as it was showed, so ok.
The monsters can get better, BUT don't be worried, it's good enough.
REMEMBER: the source material is excellent and it is a high cost series. When I say it's ok, it means it was well adapted, and very good compared to other series.",9
The Witcher,"This season is not a 10/10. It is a 7.5/10.I gave it this rating because i really want this to succeed. The actor for Geralt nails the character and is the main force of these series. Unfortunately it is being carried down by stubit decisions that make the whole sorcery and plot look stubit. However there are other scenes were i feel that this series is extremely good. Some scenes are intense for the sake of being intense. I feel that if the focused more on the key story points and gave more focus to the monster hunt and skiped some ciri and yennefer part that felt mostly like fillers the show would have been mutch better. Some of the things that happen out of the blue feel cringy like that Geralt and Yen kiss in the dragon cave. It could have been mutch better excecuted but not by the actors. Actors in general i feel are really good. The way they handled the plot is what bugs me. Sometimes it feels serious and sometimes it feels stubit. The material is there for this to work and as a massive fan of tw3 i really want this to be the best it can be. What i am happy about is the actor's detication to being Geralt Ciri is good and Yen as well. The problem are the cringy plot twists that turn out to be stubit and not something wow. I feel if they give us more action with geralt and focus on the monsters from the games, give more swordfights like the 1st episode the show will be mutch better. Actors are not the problem though.",10
The Witcher,"First of all.... everybody who rates 10/10... what do you rate, let's say, shawshank redemption or the godfather?Witcher is a very good series, if you compare it to all the crap, that marvel has puked the last couple of years.
But if we stick to loosely the same genre and compare it to game of thrones and Vikings... shouldn't even be mentioned in same sentence as Game of thrones. Vikings... njae... witcher is better than the latter half of the series at least.Henry cavill saves it very much, and it helps when you think that it's based on a game. Otherwise a bit messy and some things looks a bit cheap and overplayed. But, as mentioned, it's based on a videogame.Worth the time! Hope's up for improvement.*English is not my first language.",7
The Witcher,"This series is kinda weird and clueless. It's a half-baked script, started from somewhere but definitely not the beginning. It seems this series is a sequel to something else. Lot of things seem to have already happened long time ago, this series simply disregard the prequel and started in the middle or somewhere in the later, but definitely not from the beginning. The script sucks big time, with bad acting, pretentious and clueless dialog. Look more like a play on a stage instead a completely developed screenplay for a completely well-told storyline.I also noticed that readers of this novel series complained similarly. The whole drama series just looked too elementary superfluous. The soundtrack seems to try too hard to mimic ""Harry Porter"" or similar genre craps too much to tell the difference. Editing also sucks big time. The whole drama series just made me feel too British but not open and wide enough to be accepted internationally. The whole story just felt forcefully patched up in haste, just as incomplete as the storyline, segment by segment, glued together roughly.I've tried my best to watch to the 3rd episode, but decided not to go on further. This is a terrible series hyped with heavily promoted ads by Netflix, but in fact, it's a clusterfxxk, a 300 lbs rotten pumpkin! I have to quit right now. This is the biggest disappointment in year end of 2019. What a joke!",1
The Witcher,"Roach best actor no doubt!Masterpiece, as a witcher fan i was worried they would mess up but ohh boy im the happiest man alive rn, cant wait for s2, i might need a potion to wait that long...",10
The Witcher,"Whoever wrote the credits must not have watched the series. They said that Marilka is in one episode; I'm watching Episode 2, and she's in it.Regardless, this is an excellent fantasy tale. Between The Lord of The Rings, Game of Thrones, and The Witcher, can the 21st century be the century of the fantasy film?",9
The Witcher,"Well, they did an interesting take on the story: instead of following the books too closely (gosh, the first book is a collection of short stories without Ciri and Yen, would be enough for two seasons without getting to the main story arc) they decided to give us an introduction to the main characters, the main story line and the world - a lot for 8 hours.
Some episodes feel a little rushed, some stories are fleshed out more than in the books (Yen's story).
Overall not as dark and cynic as the books (where the monsters are usually not the monsters), but I'm very eager for the next seasons.",8
The Witcher,"So amazing, the cast the songs everything is perfect i can't wait for the second season...many thanks to present us such as this masterpiece.",10
The Witcher,Thr theme and song were wonderful but the acting was rate 9,10
The Witcher,"This is the first time I've felt compelled to write any kind of review on any movies or tv show I've ever watched. I've never watched a show so true to the source material I love, incredible.",10
The Witcher,"I tried, then tried again, but it's so boring. The story is lame, the characters are not interesting. Very difficult to watch",2
The Witcher,"Like Macklemore would have said... ""THIS IS AWESOME!""",10
The Witcher,"Generally I would say it's a good show. I was pleasantly surprised anyway.After playing all the games and reading all the books, I was worried about watching this show.The script was generally good.The casting was alright.The acting was uh. Well. Some of the actors were amazing. Some were... Less so.The CGI, was very mixed. Some of it looked good. But for instance, the Sylvan? It looked like someone wearing a very big mask.The contact lenses were slightly distracting mostly because they made Henry look cross eyed quite often.The music was good. Not as good as the video games' scores (third one is my fave), but good.I feel sorry for the people who has not read the books, since the it's probably very confusing for them with the timelines. Considering that there's three of them and they randomly mix them up.I was entertained for sure, and I'll definitely watch season 2.Honestly, from episode two and on I just wanted to wrap Yennefer in bubble wrap and protect her at all costs.
I like that they gave her her own timeline. I might be a bit biased, for I have always been team Yen.Other than that, Henry was brilliant, but really so was Roach.
I liked that they let Henry cast Roach. Roach 4-ever!!",8
The Witcher,First of all i just played both 2. and 3. games didnt read any book i will read tho. I must say that this series 10/10 i love every charecter. Some cast maybe wrong Especially dark elves :(. There is none dark elves in this universe. Also Triss not described as is in the book. Henry really live with Geralt. I can see the Geralt from game. Also back stories is awesome. Last episode kinda boring tho. But other than that dont compare this with GOT its all diferrent plot geez. If you love fantastic genre or even you dont just watch this whole new universe you wont regret it.,10
The Witcher,"First of all, I usually lay off commenting on other people's reviews, but enough is enough. You have people here rating this a 10/10 and calling it a masterpiece.
If this is what you consider a masterpiece then I feel sorry for your limited experience.
And stop try to compare one show with another, a review is supposed to be about the show you are reviewing, not a comparison.I knew nothing about The Witcher going in, having never read the books nor played the games, which I usually consider a bonus since there are no expectations to subvert.Henry Cavill does an excellent job, however the writing of the show was just not that great, and the special effects were not up to par.
I binged all 8 episodes and found myself fairly bored during the first 2 episodes, and had I rated this show on just those 2 episodes my rating would have been a possible 4 or so.The non linear story was interesting if at times confusing but kudos for making something different. The pacing however was such that I just wanted them to get on with it already.The effects were not well done at all, especially the sorry looking dragons, and even though I had never read the books or played the games, I saw the surprise twist almost immediately.Watch it if you like, but you will probably forget it in a few weeks.
Hopefully season 2 will be better.",7
The Witcher,"In my humble opinion the games were better than the books, so I was disappointed to learn that this series will not be adapting the games. Otherwise, I was entertained enough to finish the series. So many places it can be improved though. Henry = awesome but that literally is it. Needs more umpff.",8
The Witcher,If you are looking for coherent story you wont5find it here. if you are looking for coherent character development you won't find it here. If you are looking for anything deep or meaningful you will not find it here. If you are looking for a fantasy story told in a fashion aimilar to a Michael Bay film you will find that here.,1
The Witcher,"I usually don't write reviews but I felt the need to do so, so I could save people a couple of hours watching this (budget, badly written, horribly acted, terrible CGI) Joke of a TV show.
For the ones who want to try, watch the first episode if u liked it, then go on. If not, then u need to stop there, because that's basically it until the last episode.",1
