Review,Rating
"We have all seen movies or tv shows that are based on our favorite books/series. Some have been horrible: Flowers in the Attic, Montana Sky or any other of the Nora Roberts books, Harry Potter and the Prisoner of Azkaban, The Hunger Games. I could go on but you get my point. As I watch Bridgerton, I am enjoying the similarities and differences from the book series. I think the diverse cast makes the show all the more interesting. The actors and actresses do a great job of telling the story, Daphne and Simon have great chemistry. The whole cast is wonderful. True fans of Julia Quinn and Shondaland will appreciate the great performances. Looking forward to additional seasons.",10
"Ever since hearing this was going to be made into a series I have been anxiously awaiting it. This series has gone beyond my expectations. I love the costumes, the pageantry, and above all the cast. Each character is very well represented by the actor/actress portraying them. I love the addition of a diverse cast. It in no way detracts from the story and makes it a beautiful representation of today's society.
I was nervous at first that the move to the big screen would not carry over the beauty of the story but I am happy to say that I am in no way disappointed. This is a great series and I highly recommend it to everyone loved the books or just loved a great romance.",10
"Eloise and Lady Danbury are by far my favorites but I liked it all overall, quite different than the book but keeping essential plots and the essence.
I do love the diverse casting.",10
"For me it wasn't about skin, but about beloved heroines from the book. I was expecting some familiar vibes, but no. We have foolish Anthony, Simon and od course Daphne. We have younger but plain mrs. Danbury. And oh, no, mean, stupid Penelope, my favorites.",1
"I see people crying here that 18th century London was as white as white could be and they have given rating 1 without watching more than one episode (written clearly in their review, thus actually they are unfit to review this ) but as racism is filled in their mind they are saying let the history be accurate when the story is BASED ON NOVEL NOT HISTORY!!!!!!!!I liked the story and beautiful cast and by the way I have seen half the season",8
"I have read all the books and I enjoyed it. I was very excited about this tv show. When I saw the trailers I was a little bit disappointed because the actors where not like I imagined them in book. But after I started watching I really enjoyed it. Yes, there are some differences in plot, new faces like Ms Thompson, but its cool. I would say that maybe has more vivid plot that book itself. Yes, ofc it would be nice to follow the basic plot, but its just fine for me. Diversity is fine too. It's all part of our creativity and imagination.",8
"This is ridiculous! The acting is barely okay, it's superficial, the mix of ages doesn't work for me! Maroon 5 or Billie Ellish have nothing to do in a ballroom in the 17th century. Some rules have to be respected to be true to period dramas. I had great expectations but....",1
Disney and merchant/ivory have had a love child. Guaranteed to fill you with self loathing as you binge it to the end.,4
"I am well aware of Quinn's Bridgerton series, but people are not focusing enough on things such as directing, plot, acting, etc. Who cares if there weren't black aristocrats? This point keeps dragging and it's honestly quite pointless. Quinn herself expected a very inclusive cast and a re-interpretation of the series. Stop wasting your energy in worrying about ""pc culture."" Have some imagination.Now, the plot is predictable for a novel series like this. I chose to watch it with my mother and it was enjoyable like an afternoon conversation with friends. Nothing deep really, lack of subtlety. But that doesn't have to be a bad thing. People often forget who are watching series and films, forgetting that some may not understand the undertones of a message. Bridgerton's lack of subtlety is beneficial for them, for my mother who doesn't understand English aristocracy because of our background. She loved the series.It is a VERY colorful setting. Wonderful clothes and scenery. There is a lot of individuality represented through that. Some characters certainly felt re-interpreted from the original material. For example, I hadn't imagined anyone with particularly loud personalities, mainly in presentation. The series provides this. Admittedly, Daphne was an absolute bore many times. I was not passionate about Thompson. So basically, some characters were louder, some were more tame when compared to the original. At times I welcomed the change, but not every time.Anyway, I look forward to the progress of this series. I also look forward to people relaxing a bit and trying to understand that media enjoyment is different for others. Literature majors may scurry away from the predictable and superficial, but (for example) someone whose main language isn't English and has always lived in a low-middle class neighborhood may feel welcomed into a different culture and may start a learning opportunity. It's not about absolute accuracy, it's about captivating our attention at first sometimes.Oh and also, I don't think the subtitles in Spanish are the best. There are words that change tone when translated. I listened as I read the subtitles. I had to re-translate a few times so my mother.",7
If you enjoyed historical romance with a bit of scandal and swoons thrown in then this series is for you. The historical accuracy is nearly zero but the series was well told as it almost retold the novel. It was as captivating as the book and an easy watch,8
"Full marks to the cast and crew to bring our beloved characters to life from the page! Though there are some major diversions from the books, the stories of all main characters remain essentially the same. It does give us readers something different to look forward to, some surprises!Absolutely loved the cast. They are inch perfect. Acting is stellar and I had no trouble imagining them to be exactly who they portray! Thanks for bringing the Bridgertons to life, all of you. Looking forward to season 2 already!",10
So refreshing to see the heart of a story embraced!,10
"Overall I really enjoyed the series, the characters were interesting and all the scenes with the siblings were funny and realistic. Episode 6 was very problematic, and I wish they didn't include it. Also, the lgbt rep was pretty lousy, laughable even.",8
"A gorgeous-looking drama based on Julia Quinn's bestselling romance novels. This adaptation is fresh, exciting and a whole lot of fun. Think Austen and Gossip Girl, mixed with Downton, The Crown and perhaps a dash of Outlander. A splendid regency romp with a spectacular cast that are perfect as their characters. Sit back, relax and enjoy some good fun. Absolutely cannot wait for season 2.",10
"Its a great series. Not supposed to be the books, but a different version inspired by them. I like the diverse cast and the amazing costumes. I've been a Julia Quinn fan since she started writing and I think this series does the Bridgerton books proud.",10
"Absolutely fantastic show, for lovers of the books and the new finders through the Netflix series. Julia Quinn's fantastic and well loved Bridgerton series was wonderfully turned to film by the people at Shondaland and gave it a new light. The brothers and sisters of the Bridgerton family tell their stories in a steamy way, and you get to see them in a new light. Best thing that's come out this year!",10
Awesome series. Can't wait for more! The costume and cast were great! Loved how the book was brought to life.,10
This is the best!!!! You must watch it!!!!!!!!!!!!!!,10
"The series is fast-paced, witty, fun, sexy, and everything from the actors to the production are extremely pleasing. Episodes that have no boring parts that you just want to skip over like other series. A modern touch on Regency romance that viewers around the world can enjoy.",10
"I started watching this series and I must say that I really enjoyed it! This series is fun to watch, especially if you like Gossip Girl. The costumes are well chosen and the characters are fun to watch as well. It is not an accurate representation of the 18th century.
However, it is a series, which is why it does not have to be. Diversity in a series is good! In my opinion, netflix did a very good job with the cast and the entire series.",9
"Thank you Shonda Rhimes for your exquisite talents! The writing, the wit, and casting was well done! You gave a modern take on the period drama. Mere morals are not worthy.",10
Should have made it more realistic for the place and time period. But once again Hollywood has to impose their social justice narrative! I started to watch it and quickly realized how unrealistic it was and what Netflix was once again doing with their racial obsession. How about we remake Roots and Porgy snd Bess with all white actors!,5
"Only two episodes in, but highly recommend for its almost perfect blend of genres with a delicate touch of mystery, comedy, lust and scandal. Once I lowered my expectation of a deeply moving drama and relaxed into Shondaland's virtuoso ability to entertain, Bridgetown becomes most entertaining. Nowhere near a Marie Antionette, but could classify with Downton Abbey.",7
I loved it! I watched and finished Netflix in 2020 but this today on xmas day was such a delight. I need season 2,10
"I had to stop watching after just a few episodes. I personally see nothing wrong with the diversity of the cast, accept the fact that the acting is just a no. The accents and voices seem so unnatural that when the writers try to capture over hearts it honestly made me cringe. The leading actress has vertically no personality and might as well be a plank of wood (I haven't gotten too far but still), and because of this I was more interested in the supporting couples. The set and wardrobe are really quite beautiful tho so I guess that counts for something (the only reason for the 3 stars).
I just hope that for the sake of my mother, who has decided to continue, the series get better!!",3
"For the first few minutes, I was wondering if it were a SPOOF but I found I was wrong .",4
I am thoroughly entertained and thrilled by this show's revolutionary vision!,10
"I would probably give this series a higher rating if I had not read the book. Daphne and family bears little resemblance to the characters that Quinn created and that I fell in love with.Daphne is not a ""diamond of the first water"" in fact she is quite on the shelf. Her brother while being defined as a rake has always put his family first. Violet Bridgerton would have never allowed her son to speak to her as Anthony did in the first episode. The only characters that roughly resemble the book are Eloise and Simon.I have no issue with color of any of the actors; however it does seem a bit forced. That said the only reason why I gave this 4 stars is because of Page's performance.I waited so long for this and feel like the wonderful Bridgertown family and the differences between them and the normal 1800s British families have been so violated.",4
"Beautiful story, cinematography, and cast. Definitely recommend.",10
"That's it. Just perfect. Watch it. I've seen it all at once on Netflix. The books are quite good too, but you don't have to read it to watch the show.",10
"It is as good as I expected from the trailer. I have waited for a few months and I didn't regret it at all. One thing that I don't like is just it is come to an end-I demand for the second season to come next year!! I have finished it in one sitting because the very first episode has captured me perfectly! Oh, and also, Rage-Jèan is my new obsession for the whole month!!!",8
"I do not have a problem with diversity or that this series does not align perfectly with history... but my problem is that it is a period piece. And while they did not hold to truth on the race of aristocrats - you should expect this when it is a Shondaland production, think Hamilton - the issue is they held true on the language used and the seriously deep misogyny. It is almost every line and well, the very theme of the series of events that take place to show the eligible women off to marry a wealthy man.I cannot watch much more of this... so far I'm at 18.5 minutes... and I'm very disappointed.Rule of thumb for me, with all that is out there to watch or even re-watch and might I add READ as well... there is no shortage of entertainment. At 18 minutes my attention should have been grabbed. Rather I picked up my iPad to bang out a note of warning over my complete disappointment with this series.Unless you are a HUGE fan of period pieces, flat acting, misogynistic themes (a woman better get married or suffer the life of a spinster; ""after she went and ruined herself"" UGH!) and as I've seen from the other reviews if you are able to overcome the racial diversity that was not even remotely true (again think Hamilton) - then be my guest.But for me, there is enough oppression out there for women without having to slog through eight 50-minute episodes reminding us how poorly women were and are still treated.For me this is a solid PASS!",1
"This show is well made, nice costumes, good actors. It deserves at least 7 stars or more. Love the soundtrack as well. Some people are just haters for no reason.",9
"Like Gossip Girl meets Downton Abbey. Is that a good thing? Maybe for a few escapist trashy hours, but like gossip girl, the fun probably wears thin and it becomes a boring rehashed soapy plot that no sets and costumes can save after three or four episodes.",3
"Costumes are great. The sets are perfectly lush but I really don't care for the writing, the acting or the pacing. People screaming for historical accuracy need to get over themselves.",3
"The reviews for every film are usually justified, except for this one. All the bad reviews are because of diversity. However, let me remind you that it was never meant to be historically accurate.
It is a great quality tv show where black people are equal to white and not portrayed as servants only. Finally, children will be able to sympathize with the main hero instead of asking their parents why are we portrayed as slaves in nearly all movies. The main message here is to imagine new dawn for humanity, which some time ago were two separate societies divided by color until a king fell in love with a queen. Love conquers all and can change everything. Be kinder.For anybody who wants to watch a visually stunning tv series, with great actors, and a captivating story - give it a try.",10
"I read this book many years ago and can see why Julia Quinn's series would be made into a TV series. I am glad it has been developed a bit more as times have changed and character backstories have more depth. It's like the easy beach reads have had a 'Chilling Adventures of Sabrina' glow up. I have no issue with the diverse actors used, as they all act well, and the female characters while understanding their role in life (making good marriage connections and producing heirs), they mostly understand and strive for more. I like the use of modern music, dances and costuming, which together make the series feel modern. The broody rake-ish type is a bit repetitive and yet we still love that (plus Regé-Jean Page gets topless). Stand outs are Adjoa Andoh (Lady Danbury),Nicola Coughlan (Penelope) and Claudia Jessie (Eloise) are brilliant too",8
"Look, if you want a costume romp and to forget the setting, this is your lot. Everything is so obviously an American writing on British historical society that the facts and manners are not so much ignored as put on a ship, sailed out of Portsmouth and roundly cannoned to the depths. All the British actors on set must have been falling about between takes with laughter at the whole shebang! Enjoy for the story. I'd say The Crown was more historical than this flight of fancy....",5
"Waiting all season to see Julie Andrews unmasked as the Lady Whistledown and then it's little Pen. I do love a ""wow, did not see that coming"" moment. All though hard to follow, it is not an easy watch. The cast each delivered good performance for the 1800's but stand out performances for me came from Elrose, Antony and Lady Delacorte. Nice touch with making modern music instrumental to suit the era. All in all not a show I will watch twice but I'm glad I did.",10
Loving it so far. Read all the books and this is such an enjoyable show.,10
"Beautiful settings and couture.
Nice story of daily worries of the so called upperclass",10
"I enjoyed it a lot. the acting and everything, good to find a good show during this year",9
"First off, the inaccuracy in this show doesn't come from black aristocrats as so many people have been complaining about. Clearly, these people are uneducated idiots with no comprehension of English History, particularly in the late 18th and early 19th century, who have also never watched the film 'Belle', based off the TRUE story of Dido Elizabeth Belle, a mixed-race British heiress, born into slavery, taken back to England by her father and raised by an Earl. So the idea of black aristocrats is not so ridiculous as these ignorant, foolish ""critics"" complain about it being. (Not all black people were slaves in England, maybe try looking at black communities that existed during Elizabeth I's reign who were ordinary people and not slaves to correct your clearly ill-informed assumptions - particularly the BBC's article entitled ""Britain's first black community in Elizabethan London"").
Now that that's cleared up, I will say that this is historical fiction/romance, and as always, allowances can be made for historical inaccuracy because the 'history' part is often less important in these sorts of stories than the romance, and I'm certainly not watching this for historical accuracy - if I wanted that, I'd watch something on the Smithsonian channel.
I don't normally go in for romance, but I have to say that even the rather outlandish plot, the hideous fashion that the Featheringtons favour, and the slightly over-dramatic nature of the entire thing hasn't put me off or dulled my enjoyment of this series. It is entertaining, and an escape from the dull, rather bleak reality we're all living through at the moment, and so in that way, it provides the perfect kind of escapism, something completely unlike real life, where true love wins, despite all of the troubles along the way, and the bad guys have their downfall (I'm thinking particularly of Daphne's first suitor/proposal. She throws a particularly good punch, so well done Daphne!). Gossip Girl set in a historical (though fairly inaccurate) setting, and thoroughly enjoyable",10
I really love most of the changes they did from the what was on the book. Love the cast they did wonderful! They truly played their characters well! I had fun watching this series and do recommend to watch it!,10
"Julia Quinn created a dream worthy, charming Duke in the book. The chemistry between Daphne and the Duke should be palpable! He is supposed to be dashing with blue eyes. I can't buy into this, there just isn't anything brooding about him. Zero chemistry, ZERO. Not off to a good start with this one...",7
"Is a great story, really well made and enjoyable to watch, I think the actors all did a great job and is really refreshing to see people of color in period stories.
And if you are mad about that last thing then stay mad and quiet thanks.",10
An enjoyable watch that I was unaware was based on a series of novels.,9
"Sorry but I could watch only for 10 min. The queen who behaves like a drank sailor in a pub. Where is the grace and benevolence? Really???
Editing my first review: after seeing a high score ratings, tried to whatch one more time, picked episode 3. No!! It is impossible. I have very sophisticated taste in movies and degree in art history.
This movie is nothing but a disappointment",1
Terrible casting and even worse acting. The whole thing does a fun book series a disservice. I am disappointed.,1
"I love the culture, costumes and cast!I enjoy the storyline and believe the show will continue to do great.Check your racism at the door! Stop trying to make everything black and white - judge the show on the acting and true storyline.",10
"First off, I couldn't care less about the diverse cast. The actors who played Simon and Lady Danbury were great. But the personalities for Anthony, Violet, and so many others were just...wrong. I wasn't a fan of the addition of Mr Featherington, or the boxing they included.
And why has no one mentioned the absurdity of the royalty plot?? Why was that needed? Ruined the whole thing for me.
The fleshing out of the other siblings was nice, but it also left a lot of blank spots in Daphne's development.",3
"As long as you realize that it's fine. I thought it would be more witty, more sparkling like the new Emma movie which was quite quirky. I kept expecting it to have more of a contemporary spin. But its predictable tosh! And heroine looks insipid, not sure why she called an incomparable when she is so timid!Nice sets, lovely dresses shame about the plot...",7
"Things I liked- costumes, sets, mama bridgerton, Eloise, the Duke is hot, Marina change up and seeing Sir Philip early, musicThings I didn't like- Papa Feathertons arc and the queens arc...both didn't add much to the story. And revealing the identity of Whistledown too early.....it should of been cut considering the series was renewed before it even premiered.Something interesting- you see the bee throughout the series but no mention of its significance...",9
Everything from the cast to the costumes to the plot was just wonderful! Things are always bound to change in adaptations and in this case for the better. Casting for Simon and Lady Danbury in particular were marvelous choices! I am so very glad this show has been created and look forward to seeing many more seasons to come that will depict all the other Bridgerton books!!,10
Wonderful and really keeps you on your toes. for real a very good watch to curl up on the couch.,9
"Fluffy, pretty, captivating! Well written and well acted! People who fuss about historical inaccuracies obviously either haven't read the books or haven't read history. Quinn takes as much liberty with history as Shonda takes with Quinn's source material. Both are fun and entertaining. If you want historical accuracy, read Hilary Mantel (also a great read/show, but much much more grim. As is history)",9
I'm okay with watching this film just for the fun but Jane Austen is an artist and her usage of words and ability illustrate people and their world they live in is comparable to a skilled painter and his brush strokes.,6
"Like a huge fan of the books I have to say that I'm delighted with the show. It's absolutely charming, modern, beautiful... So happy with the result, so happy about de whole crew, actors, actresses, directors and specially shondaland team! Thank you all for this show.",10
"Delightful n Delicious - binge watch if at all possible - plan to watch it again n again - should come with a warning label - the Duke is HOT, has a great behind, wonderful eyes n expressive face n body - yep, defgonna watch n rewatch - n probably a few scenes rewind n repeat. Great period details. Loved the blended cast. Great series that should have wonderful future seasons!",10
"I absolutely love this adaptation. I've read the books and Shonda has brought the characters to brilliant life. The music, costumes and sets are breathtaking. I can't stop watching. Can not wait for Season 2!",10
"I have read all of the books and the movie was beyond my wildest expectations! Loved the actors, costumes, storyline, etc... I can't wait for the next season!",10
"This show really captured the FUN of Julia Quinn's work. While I did find the diversity of the cast to be a bit blatant, the story moves right along as of their skin color didn't matter. I REALLY liked the portrayal of Simon once I knew the writers weren't adding in some background of African roots. Just the actor's skin color; no big deal.
Costuming and sets are gorgeous. It's a bit fantastical rather than perfectly historical, but it balances nicely between the two in a nearly believable, but still fun, way.",9
"A refreshing take on historical drama. The humour is inspired, the costumes are divine and the cast all played their parts perfectly. I was hooked from beginning to end. Definitely recommend.",10
Simply wonderful. Well acted and delightful in its visual design.,10
"This show is very wrong and i am not talkin about the diversity the show honestly that is the only part that is respectable!! i am talking about the language, the dresses( shape and colour). on top of that it has mediocare writing at best. this could have been done more gracefully ofcourse. the idea was fine while making it reality something went horribly wrong. And please do not just say a show is good because it is diverse it is very important being diverse yes try to look past the big corprations maniplations and see and hear everything not just like a show because it is a bit different when it is empty an 2 dimensional.",1
"I loved this show! People need to understand that it is not a history lesson, it's fun and romantic, as it should be. And I loved they took the opportunity to showcase amazing POC talent playing parts that had not been usually portrayed by them.
Shonda is a genius.",10
Loved the series! Better than the books! The characters are faithful to the spirit and I loved every moment.I hope Netflix does right by Shondaland and keeps this running for all the books!,10
"Better than my expectation, i have to admit. the story flow quite good enough whilst the casts are not the superior good looking but lovely & adoring. cant wait to watch the season 2",10
The acting style is painful to watch. Costume and set choices are tacky. I cringed through the first episode hoping it would get better. It didn't. If you are looking for an imaginative/funny period piece watch The Great instead.,1
I read all the series of The Bridgerton and it is icredible how i could see the characters in the actors. I really loved everything,10
"Nothing redeeming about this show, why even call it Bridgerton when it completely butchers the story beyond recognition",1
"Not 100 percent true to quinns novels but books to screen never are, something I prepared myself before watching.A wonderful series even if hadnt read the books before would have still enjoyed. Love the twist with morden music in classic form, the sets and costumes are exquisite.
The cast are amazing and well casted.As for those saying its not historically correct, its not meant to be, hate to tell you this but this isn't real!!! This isn't based on real life, it isn't a true story, and never once claimed to be.
Dont let your racism show and enjoy the show and the actors for their amazing work and not judge the colour of someones skin ( your only embarrassing yourself)Only Wish the characters especially the bridgerton family members were more like their orginal novel selves. There is a reason Quinn fans love the bridgerton family so much writers please don't change that.Can not wait for series 2!!!",10
"I must admit I don't catch everything because they talk so fast in their British accents but I'm enjoying it so far! The costumes are lovely and while some of the acting is a bit campy, I still enjoy it all. It's a spectacle to be hold for sure!",8
"First off, question for those complaining about historical accuracy over a purely fictional story: black aristocrats are an inaccuracy, but string quartet covers of Ariana Grande and Taylor are historically spot on? Give us a break from your racism and pettiness.As for the show, I find myself not liking Shonda's work more often than not, but I've managed to willingly sit through this one because it is a time period I'm most interested in (Pride & Prejudice is one of my all-time favorite movies). I appreciate the elements that give the show a slightly modern twist for a period that is usually portrayed as completely modest and proper. The setting is visually beautiful and it's refreshing to see a diverse and eclectic cast (reminds me of Brandy's Cinderella). The plot is standard yet I enjoy these little matchmaking/suitor storylines, and I'm interested in seeing more of the show.",7
"Even though I am an enormous Regency fan I had never heard of these books, let alone read them. I'll admit that the first episode was a bit disconcerting since I didn't know anything about the show before seeing a short trailer, but I soon realized the genius of the casting. The actors are well chosen and play their characters with believability - isn't that all we really need? I laughed, I cried, I fell in love with Daphne and Simon. And especially with Lady Danbury. I'm going to see if I can download the rest of the books and I'll probably be up late tonight, reading more about my new favorite people and seeing them all in my mind's eye. I cannot wait for season 2!",8
What happened to this series ?? Tell me Julia why did you sell your story? Why did you allow Shonda to change it that way? I am very disappointed !!!,1
Really enjoyed it watched the whole season in one setting Hope there's a season two??,10
"This wonderful and romantic book series has been beautifully brought to life in the Bridgerton series! As someone who has read the books over and over again, the introduction to the Bridgerton family was so cleverly done. They took the over lapping timelines from the various books into the series and set into motion each characters personalities and laid the groundwork for their eventual love story. Daphne and Simon were played so well, whether they were flirting, fighting or tearing each other's clothes off. I laughed, cried and swooned as I binged all 8 hours in a row. I can't wait to watch it again and this was such a wonderful Christmas present (and a 2020 highlight.)",10
"I can't wait for more I'm obsesses, i know it is probably not for all people who read the book just give it a try it won't hurt",10
"A lovely indulgence show. Enjoyed every moment. Every single one of the actors was so attractive, I literally could not tear my eyes away from the screen.",10
This show is amazing! If you've read the books then you understand the importance of this show. Absolutely wonderful!! I'm so thrilled with all the episodes.,10
"As many people have mentioned previously, this series is an adaption of Julia Quinn's steamy romance series. As a long time fan of her work, I was not amused by the direction this series went in. I have read the entire series multiple times. The books were lighthearted, funny, and rarely accurate to the historical time period themselves. As such, the historical inaccuracies in the Netflix show amused me rather than irritating me. The partially black cast may not have fit with the time period, but then again neither did Quinn's original characterizations, most of whom treated women with the respect they rarely had back then. This is a work of fiction, as reinforced by the random snippets of Taylor swift and Ariana grande. The thing that did irritate me was the direction they went with many of the characters I loved in the books. Everyone that provided comedic relief in the books suddenly became mean, awful, or unnecessarily dramatic. All of the comedy was replaced with drama. Simon and Daphne were the only characters in this season somewhat accurate to their characters in the books. Due to the changes, I'm not sure if season 2 will be able to redeem some of the characters enough for me to like them again.Summary: Do not watch expecting a historical accuracy or Quinn's or lighthearted comedy. STEAMY: Do not watch with anyone you wouldn't watch GOT with. Watch with the reminder that this is from the same person that gave us Grey's anatomy. Overall, decent way to kill time in 2020",7
"A sumptuous and romantic adaptation of the first book in one of the best regency romance series of all time. The cast are beautiful and engaging and the story top notch with a swoon worthy happily ever after for the ages! Can I get season two now, please?",10
