Region,Review,Rating
East Asia,"There are Series on Netflix that you have high hopes for or just seems good, but end up flat on their Faces when you finally watch it. On the other Hand, there are Series that you don't have a lot of expectations or know little about, but turn out to be a really big surprise.This is one of those Series, I literally knew nothing about it, I just tried it out and it turns out to be one of the best Series I have seen this Year. It is a Mystery-Action-Adventure-Thriller about a group of Friends who end up in a Place where they are forced to participate in Games that result in Life or Death.This Season the Series didn't really focus too much on the ""Why"" and ""How"" the People ended up where they are, it focused more on the Games themselves, and the Experiences, Group Dynamics and Background of the Participants.Each Game is unique and thus have to be solved in a relatively unique way also. The Pacing, Storytelling, Characterizations, Acting, etc. are all pretty good, there's not a lot of dull moments in the Episodes, there's always something interesting happening.It's just one of those Shows where, once you start watching, you just don't want to stop. Truly a Hidden Gem, it is a Japanese Production, not much Promotion, not much hype, hopefully it won't stay hidden for long. For Science Fiction Fans, this is a Must Watch for me, again one of the Best Series I have seen this Year.",10
East Asia,This show was really good I can't wait for the second season it was crazy like what if this really happened in real life everyone should watch great show !!,10
East Asia,"5 minutes just running, 3 minutes just thinking, 4 minutes just being quite and looking. Some of the games are fun others are just hide and seek with and without guns. MEH. It has potential just wish it wouldn't be so fxking slow. I skipped to the ending and you know.. it's kinda what you expect but nothing more. Season 2 - without me.",3
East Asia,I cannot express how much I loved this show. Every episode kept you wanting to know what crazy twisted thing was going to happen next. We definitely need a second season. Great job netflix.,10
East Asia,"Finally Netflix delivers an entertaining series in another language than english thats worth watching. This series is totally mindblowing, with an element of Escape room in a post-apocalyptic like parallel world. Its based on the Manga series by Taro Aso. And it does it quite good and stays true to the Manga. I highly recommend watching this. Only downside is, that there is only 8 episodes. Plot is nice and just like in the Manga, the main characters is stepping into what seems to be an empty festival, they are greeted by a woman who tells them that they have already ""entered their game"". After clearing the game, she reveals to them that, in Borderland, they must play games to survive. Very entertaining",10
East Asia,"Perfect start and mediocre finish. The intro to Usagi was perfect. However, I feel like they rush this through. I think it needed more marinating. Have a character development, it's hard to like certain characters because it feels like you don't know them. I think great tv shows implement characters to a different standard. For example, Usagi would have been a great antidote to the mediocre performance from the protagonist. I think the mistake they made was rushing this. I like the tv show but it's not something I will say 'omg I can't wait to see season 2.' Unlike Arthdal Chronicles (Korean) which is a must see, I think it is one of the better Japanese survival tv shows out there but for Netflix standards they could have hit a home run but instead they hit a ground rule double on the first season. My honest opinion. My true rating is a 6/10 but I have it 8/10 because some of the low rating doesn't really makes sense.",8
East Asia,"Lately I found myself fascinated with japanese culture and tv, so I knew this show was coming. It surprised me to see the publicity around it and after I watched the show, I understood the amount of money Netflix put in this. I loved the atmosphere, the music and the first 4 episodes. It really looks like another world, with the same buildings and spaces, but empty, on the verge of the survival, with clinical colours. I noticed most of the actors and after I finished the series, I looked for almost everyone of those who appeared in more than 2 episodes. Their acting is different from what we are used to in the western cinema- they are more expressive in sadness and desperation, to the point they may seem melodramatic. Maybe it's a way to compensate the restraint the japanese society usually shows. As I said, I liked most of the actors, especially Arisu's friends - Keita Machida (Karube), cool and lone ranger like, and Yuki Morinaga (Chota), sweet and full of fears, and their chemistry with Kento Yamazaki. As for Yamazaki, he has ups and downs. His scenes in the end of episode 3 are magnificent and memorable, they left me broken, I saw myself in his howls. Then he goes in the end of episode 8, the scene with all the people in the lobby, and something doesn't seem real, it's all rhetorical. In exchange, Tao Tsuchiya should be allowed to do more, talk more, not be just an idealized heroine.
Anyway, I hope they renew the series. It's easy to watch, with a subject that makes you think about it and most importantly, it's a tv show with a soul.",8
East Asia,"I have never watched Anime/Manga, never been interested in them either but I LOVED the series! If you like puzzles, escape room, problem solving, you would love this series! Definitely recommended, hands down one of the best production that aired during Covid period",9
East Asia,"Imawa No Kuni No Alice (Alice in borderland) is one of my favourite manga and when I found out that there was a live action I was happy and sad at the same time because I was afriad of them spoiling this masterpiece but guess what? They haven't!The show is amazing and is definitely one of the best series out there to watch. There are many different aspects from the manga which made it even more entertaining to see!Anyway, give Alice in Borderland a chance, you won't regret it! And also, if you enjoy reading comics, check out the manga, it's awesome!",10
East Asia,"Absolutely superb, a stunningly beautiful well crafted story that's left me wanting more. One of the best shows I've seen this year",10
East Asia,"Really enjoyed it up until the 10 of hearts game, 56 people enter the game, close to 50 people die during the 2 hours of mass murdering, and then there's 30 odd people still standing at the end.Ruined it for me because that's all I could think of during the last game... Would of given it 10/10 if they crunched a few numbers before airing the show",7
East Asia,"I'm usually a bit skeptical with live action adaptation from mangas, but Alice in Borderland surpassed my expectations. I haven't read the manga, so I'm sure how faithful it is to the source material, but as it is on its own, it was brilliant! Sets the tone pretty much straight away, had me on the edge of my seat all the way. Really enjoyed the characters, thought the cast were great! Some really awesome action sequence, good twists and wtf moments. All I'll say it's like Battle Royale x Hunger Games x 28 Days Later. Don't wanna spoil it for you!
Hope you guys enjoy it as much as I did! Peace!",10
East Asia,"I haven't watched many Japanese movies in the last 15 years or so. The commitment to such story arcs I fear may drive off some viewers, but in my opinion they are timed perfectly. The balance between the action and the intrigue doesn't have me reach for my phone to check my email. I look at that as a win since once you've seen enough western television you're more or less likely to feel a familiar rhythm.Now that I've finished this series I can't wait to see the next season.",9
East Asia,Please make season 2. Even as a person who doesn't read the Manga this is interesting and thrilling to watch.,10
East Asia,"Read the excellent reviews and decided to give this a go. Not disappointed, really well done. A bit of mix between CUBE and being inside a video game, but well executed and keeps you gripped. Well worth a watch.",9
East Asia,"Despite the seemingly raving reviews no doubt written by people that would have simply just liked it cause it was japanese and based on a manga I have some faults. The series itself was not bad if you like this kind of battle royal style, genre of film than you will find it a decent watch however there are some faults the CGI is at times awful and there is a general feeling that this series relies more on shock value than it does substance. Which makes me worry about how great in the end it will be as a series we are continuously introduced to characters who we grow some sort of feeling for and then they are killed now don't get me wrong once maybe twice this can put the audience on edge and be thrilling but after a while and at the end of the series I feel like the people left I have no real connection to they seem to just be brought out the wood works with the bare minimum of character plot.",5
East Asia,"Very nice but also brutal Sci-Fi serie.
It's like most Japanese shows very violent and sometimes a bit weird, but it never gets dull.Still has a lot of plotholes and not everything is explained but enough to make another season, too bad it has the potential to become repetitive if they milk it out too far.Give it a go next lockdown, you won't be disappointed",7
East Asia,"Interesting premise, and enjoyable enough, but very rough around the edges. I haven't read the manga so I had no expectations or knowledge of the story or characters. It comes across as a mix of many other well known movies n TV themes. As the series goes on you see less and less of the the puzzles, which to me, was the best part. Lots of continuity/story holes.
Entertaining, but not one I'll be telling friends to watch. Good way to see some of Tokyo city without people and cars.*** oblique spoilers below ***... But that last few eps of S1. Urgh. It's like they gave up on intricate puzzles and any sense of solving anying, or even have the main characters do anything tricky or smart, or hell, even interesting. Just boring pointless violence, interspersed with jammed in flashbacks/backstory. Way too much was introduced with The Beach which seemed unnecessary, and with very little stakes to begin with, not much is gained or lost by all the dying. We still know next to nothing about the game, why they are there, etc.
I'm not even sure I really care to know after finishing S1...",6
East Asia,"I found a lot to love about this - the Lost/Hunger Games/escape room premise is exciting and the show doesn't pull its punches. In the main the game solutions seemed a bit obvious but I guess the idea is that in the adrenaline and disorientation of the situation you wouldn't be thinking straight.
Where I dropped a couple of points was in the execution. Some of the performance in the dubbed to English version was distractingly bad - if I could speak Japanese and watch an undubbed version then it might be different but I can't so that was an issue for me.
It felt to me like it would have benefited from being a 12 or 13 episode series - I think with a bit more time and space we could have got to know the characters a bit better and the series end could have been better developed. The last episode felt a bit thrown together and left a lot to question - in a ""Whut?"" way, not in a cliff hanger way. Plus a minor, but distracting, quibble was that there seemed to be some confusion about how many people were at The Beach.
Those flaws are there and detracted from it a little but I'd still recommend it as an interesting and exciting show to watch and I'm now keen to check out the source material.",8
East Asia,The storyline and everything it's just so well done. It really has you in suspense. I can't wait for season 2 !!!,10
East Asia,"no spoil - I just finished the serie and it was awesome except for the last episode, i was hooked from episode 1 and I recommend this serie to anyone.Until the last episode... Everything was great, the plot was great, the actors were great but everything just went the japanese anime way : way too much useless & dramatic scenes lasting for hours without purpose and making me feel more than annoyed.
I was just feeling like ""come on! just get on with it""
I was so disappointed the serie had to finish this way because the 7 first episode were just amazing. Hope for a season 2!",7
East Asia,This is one of those Japanese gems like a high end Lexus that's been knocked outta the park. The twists are NOT predictable and there is some very original content here! I like to savor shows one episode per day but I'm so tempted to binge!,10
East Asia,"The premise of this series is one which I love so I was very intrigued to watch this series when I saw it pop-up on Netflix.If I had to give it a score after having watched the first 4 episode it would have been a 8/10 for me. However as my score clearly shows something went wrong after episode 4.Personally the second half is when I felt the series starting loosing what was great about the first 4 episodes. Not to go into any spoilers, but it introduces new elements to the story that could be interesting but just feels out-of-place in my opinion. I think it could be done and I don't think it was necessarily horrible, however this is where I started to feel that the story lost its focus.However the big problem with this series is the last 2 episodes. Especially the last one. Obviously since it's the end I can't go into too much detail but what I will say is that story becomes rather ridiculous. And this is something considering what the story really is from the beginning. But it goes from being more of a mystery and figuring out what is happening to just be full-blown action and craziness. Also the acting and dialog becomes very over the top. The big reveal that we get at the end is not really satisfying, it just left me disappointed and mad about the potential this series had.Still I wouldn't call this show bad, im still giving it a 6/10 since the first 4 episodes were great, ep5/6 was okay, and 7/8 was bad, which I average out to about a 6.If you are asking yourself if you should watch this show then I would say that if you like the concept and these types of shows then it's a good bingeable show for a weekend. Since it's only 8 episode it doesn't take too much time to watch it through. But if you aren't feeling it after the first episodes then you can stop since it won't get better from there.",6
East Asia,It's the best thing on Netflix right now. Must watch and I am no manga or Japanese genre fan. A bit slow at the start but I guess narration does require some context unless u jump straight to action but it picks up after that and keeps u hooked till the end. I get why some didn't like the ending since everything until then was excitingly chaotic. But I can't complain and be more excited to watch the second season. Overall it's very entertaining.,9
East Asia,"Narrative - great
Mystery - great
Story - greatCharacters - since this was originally a manga, the characters are written like anime characters
it's not a big problem, but it sometimes feel a little off, but this is just my personal opinion, except that, they are goodShould you watch it - definitly
unless you don't like gore, cause it got some but not too much",7
East Asia,Just wow this show had me on the edge of my seat. Great show to watch!! Cant wait for season 2!!!,8
East Asia,"I really wasn't expecting very much from this show, but it really amazed me. It got my brain thinking and had me trying to solve things throughout each episode. I felt so many different emotions from this show and I cannot wait for the next season. This show was carefully thought out and everything falls together beautifully. The visuals were also amazing along with the character development! I am very critical with what I watch, but this show was binge worthy. Amazing!",10
East Asia,"I'm in love with this series .
I didn't expected it to turn out so good .
With kento awesome acting as usual , this series is 10/10 for me .
The main character and side character all have some kind of past and this game that they are made to play changes themselves , i love how main character uses his brain ( from playing too many games ) .
I wasn't available to predict what going to happen next , so it was fun watching this .",10
East Asia,"Three best friends in Tokyo seem to vanish from thier own world and venture into an alternate reality of some kind, where the normally densly packed Tokyo is abandoned. A dream come true for some(especially during a pandemic), however, the trio soon realize that their existence has an imminent expiration date. All they need to do is play some games to extend their stay. The catch? The games can kill you of course, and there is a time limit(every games worst nightmare). Furthermore, if the games don't kill the loveable trio, then surely the other ""players"" might.Those lucky enough to stumble across ""Alice In Borderland"" will soon find themself very unlucky, when they have binged watched the entire season during one night and crave more episodes. Like other postmodern science fiction films/series such as ""The Matrix"" or ""Battle Royale"", this season brings an element of mystery and confussion that made me want to find out more, what the hell is really going on?Amidst all we get to see pleasing, well made action scenes that takes your mind of the bigger picture. At one point a sword-wielding mad man with face tattoos fights a bikini dressed teenager with drealocks in a club with strobelights(didn't think I would see that, like ever). Survival is of course key in Borderland first and foremost. The games are tricky enough put far from impossible.It's of course easier solving them in the safety of the couch and not betting ones actual life on solving the puzzle. Well written and exciting aspect of the first season.Characters are not fully fleshed out, but this is so far the first and only season. Then again, as you could imagined in this type of dystopian sandbox, people die left and right. With that said my favorite episode was episode 07, the one episode we actually got to see some brief backstory(and also the club fight). My favorite character is so far Usagi(Tao Tsuchiya). I call her ""Mirrors Edge girl"" for reason obivous if you look at her appearance and skills.In conclusion: Great pace, entertaining and fast action scenes. Captivating plot, can't wait for season 2 (please, oh please be a season 2). I really want to see what challenge a ""dressed card"" offers.",9
East Asia,Outstanding is the acting of Yamazaki Kento in this series. The plot moves fast enough to not feel bored and the series theme and idea is unique. I like the survival theme and how interesting the series gets while unfolding. I hope we get to see a season 2!,10
East Asia,I see the one in which the director and screenwriters made this show have that of an archetypal path.I loved its Hunger Games/Maze Runner type feel.The conplexity of the games to then have it looped it to mind games and personal character relationships was fascinating.Great watch - especially with friends.,8
East Asia,Really impressed with the personality and development of each and every character. Happy with the interconnection of each character and their role in each episode. Masterfully tied past with present and set up the settings for each game. Ready for season two!,6
East Asia,Very interestingly built up a game and the concept of the story.,10
East Asia,"Really hope there is a season 2!I love being transported to a different world and Alice is a convincing one too. The acting is great and the camera work is great too. The story is silly but it's also awesome too! If you roll with it, it's a enjoyable ride! The dialogue can be a bit over the top but that's part of manga.
You won't be disappointed with investing your time in this",8
East Asia,"After Game of thrones I did not found my self breathless like this series
It is excellent work",9
East Asia,I didn't think I would enjoy this show so much but I most definitely loved it I hope there will be more seasons.,9
East Asia,This is crazy good. recommend it to anyone who can deal with reading subtitles.,9
East Asia,"Nice idea, but the lousy dialogue and cringeworthy acting finally made me stop. I normally really like Japanese productions, but this was just bad and possibly the most overrated show in a while. Hopefully the rating will balance itself once more realistic ratings come in to counteract all the 10 clickers.So seriously don't waste your time.",2
East Asia,"It's been so much fun in watching the series. Initially I found the series repulsive due to cultural conflict. Then I gradually liked it and started binge watching it after episode 2. Yes, they put too much emphasis on the details of corpse SFX, but that's not a big deal.To me the plot is quite a simple one. The true calling is the concept of coma-in-multiverse. I have to keep thinking and watching and enjoying the thriller at the same time. That's the fun: a 3-in-1 kind of fun.I seldom watching Japanese drama and that's one that I would recommend to my friends.",8
East Asia,"Before it was released, I had been looking forward. However, after I finished 4 Eps, I didn't think it fulfilled my expectation.
Some people's deaths are unnecessarily. The game in Ep 3 is a little boring. It is not interesting, without unexpected turns. It seems that this game is only aimed to kill his two friends and provide him a chance to meet the heroine. However, I don't know why the heroine can survive so long either, as it proves that she is just lucky enough after I finished Ep 4.
But it is still worth watching if you are a fan of thrilling and suspenseful dramas.",7
East Asia,Just now finished watching the series on Netflix and cant get over it. Desperately want a season 2 .Mostly I was star struck by dori sakurada's character as Niragi. At first I couldn't even recognize him. He was so good at acting. My God ??,10
East Asia,"You can tell that this series is based on a manga. It is extremely exaggerated - unfortunately that also applies to clichés and nonsense. In addition, ""Alice in Borderlan"" unfortunately hardly offers any twists or storylines that are not completely predictable or one-dimensional. Unfortunately, from the first to the last second, the whole thing is an unorginal, illogical and often stupid mess that has not worked with comparable formats such as Qube.",4
